customer_id,insured_period,residential,building_painted,building_fenced,garden,settlement,target,insured_period_round,scaled_building_dim,year_of_observation,year_of_occupancy,years_active,year_of_observation_freq_encode,year_of_occupancy_freq_encode,years_active_freq_encode,building_type_2,building_type_3,building_type_4,quarter_Q2,quarter_Q3,quarter_Q4,decades_active_D2,decades_active_D3,decades_active_D4,decades_active_D5,decades_active_D6,decades_active_D7,decades_active_D8
H5910,1.0,0,0,0,1,0,0.0,12,0.0686169068616907,2014,1960,54,1517,3733,680,0,0,0,0,0,1,0,0,0,0,1,0,0
H6242,1.0,0,0,1,0,1,0.0,12,0.09120240912024093,2012,1980,32,2225,1525,455,0,0,0,0,0,1,0,1,0,0,0,0,0
H3500,1.0,0,0,0,1,0,0.0,12,0.3224349322434933,2012,1988,24,2225,720,232,0,0,0,0,0,1,0,1,0,0,0,0,0
H3579,1.0,0,0,0,1,0,0.0,12,0.19337491933749193,2013,1988,25,2093,720,226,0,0,0,0,0,1,0,1,0,0,0,0,0
H6838,1.0,0,1,0,1,0,0.0,12,0.1288449128844913,2012,1988,24,2225,720,232,0,0,0,0,0,1,0,1,0,0,0,0,0
H13522,0.99726776,0,1,0,1,0,0.0,12,0.4299849429984943,2016,1988,28,1093,720,108,0,0,0,0,0,1,0,1,0,0,0,0,0
H13523,1.0,0,1,0,1,0,0.0,12,0.21488492148849214,2012,1988,24,2225,720,232,0,0,0,0,0,1,0,1,0,0,0,0,0
H13524,1.0,0,1,0,1,0,0.0,12,0.21488492148849214,2013,1988,25,2093,720,226,0,0,0,0,0,1,0,1,0,0,0,0,0
H13525,0.99726776,0,1,0,1,0,0.0,12,0.21488492148849214,2016,1988,28,1093,720,108,0,0,0,0,0,1,0,1,0,0,0,0,0
H5464,1.0,0,0,0,1,0,0.0,12,0.35469993546999357,2016,1980,36,1093,1525,203,0,0,0,0,0,1,0,0,1,0,0,0,0
H5486,1.0,0,0,0,1,0,0.0,12,0.18261991826199184,2012,1980,32,2225,1525,455,0,0,0,0,0,1,0,1,0,0,0,0,0
H5487,1.0,0,0,0,1,0,0.0,12,0.18261991826199184,2015,1980,35,1218,1525,222,0,0,0,0,0,1,0,0,1,0,0,0,0
H6145,0.99726776,0,0,0,1,0,0.0,12,0.5590449559044955,2016,1988,28,1093,720,108,0,0,0,0,0,1,0,1,0,0,0,0,0
H6146,1.0,0,1,0,1,0,1.0,12,0.7526349752634975,2013,1988,25,2093,720,226,0,0,0,0,0,1,0,1,0,0,0,0,0
H7181,1.0,0,1,0,1,0,0.0,12,0.055710905571090555,2014,1988,26,1517,720,158,0,0,0,0,0,1,0,1,0,0,0,0,0
H15714,1.0,0,0,1,0,1,0.0,12,0.11378791137879114,2015,1999,16,1218,21,24,0,0,0,0,0,1,1,0,0,0,0,0,0
H14149,1.0,1,1,0,1,0,0.0,12,0.1800387180038718,2015,1960,55,1218,3733,561,0,0,0,0,0,1,0,0,0,0,1,0,0
H12996,1.0,0,1,0,1,0,0.0,12,0.37147773714777377,2013,1988,25,2093,720,226,0,0,0,0,0,1,0,1,0,0,0,0,0
H2418,1.0,0,0,0,1,0,0.0,12,0.2200473220047322,2013,1960,53,2093,3733,989,0,0,0,0,0,1,0,0,0,0,1,0,0
H2507,1.0,0,0,1,0,1,0.0,12,0.30952893095289313,2015,1985,30,1218,32,20,0,0,0,0,0,1,0,1,0,0,0,0,0
H2593,1.0,0,0,0,1,0,0.0,12,0.06431490643149065,2012,1980,32,2225,1525,455,0,0,0,0,0,1,0,1,0,0,0,0,0
H2638,0.0,0,0,0,1,0,0.0,1,0.3654549365454937,2012,1980,32,2225,1525,455,0,0,0,0,0,0,0,1,0,0,0,0,0
H2639,0.0,0,0,0,1,0,0.0,1,0.3654549365454937,2016,1980,36,1093,1525,203,0,0,0,0,0,0,0,0,1,0,0,0,0
H2640,1.0,0,0,1,0,1,1.0,12,0.793073779307378,2015,1980,35,1218,1525,222,0,0,0,0,0,1,0,0,1,0,0,0,0
H2641,1.0,0,0,1,0,1,0.0,12,0.19337491933749193,2013,1970,43,2093,289,90,0,0,0,0,0,1,0,0,0,1,0,0,0
H3254,1.0,0,0,0,1,0,0.0,12,0.6450849645084965,2013,1980,33,2093,1525,423,0,0,0,0,0,1,0,0,1,0,0,0,0
H3588,1.0,0,0,1,0,1,0.0,12,0.25145192514519255,2013,1972,41,2093,35,35,0,0,0,0,0,1,0,0,1,0,0,0,0
H3728,0.99726776,0,0,1,0,1,0.0,12,0.6399225639922564,2016,1965,51,1093,59,25,0,0,0,0,0,1,0,0,0,1,0,0,0
H5256,1.0,0,0,0,1,0,0.0,12,0.8819100881910088,2013,1988,25,2093,720,226,0,0,0,0,0,1,0,1,0,0,0,0,0
H15558,1.0,0,0,1,0,1,0.0,12,0.17186491718649172,2014,1950,64,1517,315,63,0,0,1,0,0,1,0,0,0,0,0,1,0
H18719,0.99726776,0,0,1,0,1,0.0,12,0.6665949666594967,2016,1981,35,1093,18,222,0,0,1,0,0,1,0,0,1,0,0,0,0
H19593,0.99726776,0,0,1,0,1,0.0,12,0.0686169068616907,2016,1971,45,1093,19,59,0,0,1,0,0,1,0,0,0,1,0,0,0
H19784,0.781420765,0,0,1,0,1,1.0,9,0.5353839535383953,2016,1972,44,1093,35,72,0,0,1,0,1,0,0,0,0,1,0,0,0
H19813,0.99726776,0,0,1,0,1,0.0,12,0.35900193590019364,2016,1975,41,1093,61,35,0,0,1,0,0,1,0,0,1,0,0,0,0
H3038,1.0,0,0,0,1,0,0.0,12,0.19337491933749193,2013,1960,53,2093,3733,989,0,0,1,0,0,1,0,0,0,0,1,0,0
H3509,1.0,0,0,1,0,1,0.0,12,0.098730909873091,2012,1940,72,2225,72,20,0,0,1,0,0,1,0,0,0,0,0,1,0
H4555,1.0,0,1,0,1,0,0.0,12,0.002796300279630028,2014,1988,26,1517,720,158,0,0,1,0,0,1,0,1,0,0,0,0,0
H5512,1.0,0,0,1,0,1,0.0,12,0.2579049257904926,2012,1997,15,2225,14,33,0,0,1,0,0,1,1,0,0,0,0,0,0
H6126,1.0,0,1,0,1,0,0.0,12,0.0019359001935900196,2013,1988,25,2093,720,226,0,0,1,0,0,1,0,1,0,0,0,0,0
H6575,1.0,0,0,1,0,1,0.0,12,0.12239191223919124,2012,1988,24,2225,720,232,0,0,1,0,0,1,0,1,0,0,0,0,0
H6634,0.99726776,0,0,1,0,1,0.0,12,0.7573671757367176,2016,2003,13,1093,32,32,0,0,1,0,0,1,1,0,0,0,0,0,0
H6164,1.0,0,0,1,0,1,0.0,12,0.13959991395999138,2013,1990,23,2093,100,40,0,0,1,0,0,1,0,1,0,0,0,0,0
H6165,0.98630137,0,0,1,0,1,0.0,12,0.13959991395999138,2015,1990,25,1218,100,226,0,0,1,0,0,1,0,1,0,0,0,0,0
H1503,1.0,1,0,1,0,1,1.0,12,0.8842761884276189,2013,1965,48,2093,59,27,0,0,1,0,0,1,0,0,0,1,0,0,0
H18935,1.0,0,0,1,0,1,0.0,12,0.8842761884276189,2014,1960,54,1517,3733,680,0,0,1,0,0,1,0,0,0,0,1,0,0
H19802,0.99726776,0,0,1,0,1,0.0,12,0.3159819315981932,2016,1970,46,1093,289,62,0,0,1,0,0,1,0,0,0,1,0,0,0
H13368,1.0,0,1,0,1,0,0.0,12,0.1288449128844913,2015,1960,55,1218,3733,561,0,0,1,0,0,1,0,0,0,0,1,0,0
H13369,0.99726776,0,1,0,1,0,1.0,12,0.1288449128844913,2016,1960,56,1093,3733,457,0,0,1,0,0,1,0,0,0,0,1,0,0
H13370,1.0,1,1,0,1,0,0.0,12,0.08152290815229082,2013,1960,53,2093,3733,989,0,0,1,0,0,1,0,0,0,0,1,0,0
H13715,0.08493150699999999,0,1,0,1,0,0.0,2,0.098730909873091,2013,1960,53,2093,3733,989,0,0,1,0,0,0,0,0,0,0,1,0,0
H14550,1.0,1,0,1,0,1,1.0,12,0.602064960206496,2012,1940,72,2225,72,20,0,0,1,0,0,1,0,0,0,0,0,1,0
H14551,1.0,1,0,1,0,1,0.0,12,0.602064960206496,2015,1940,75,1218,72,14,0,0,1,0,0,1,0,0,0,0,0,0,1
H14552,0.99726776,1,0,1,0,1,0.0,12,0.602064960206496,2016,1940,76,1093,72,14,0,0,1,0,0,1,0,0,0,0,0,0,1
H15630,1.0,1,0,1,0,1,0.0,12,0.296622929662293,2014,1960,54,1517,3733,680,0,0,1,0,0,1,0,0,0,0,1,0,0
H1584,1.0,1,0,1,0,1,0.0,12,0.21488492148849214,2015,1940,75,1218,72,14,0,0,1,0,0,1,0,0,0,0,0,0,1
H16002,0.16164383599999999,1,0,1,0,1,0.0,3,0.11163691116369112,2015,1973,42,1218,18,86,0,0,1,0,0,0,0,0,1,0,0,0,0
H16624,1.0,1,0,1,0,1,1.0,12,0.698859969885997,2012,1991,21,2225,26,16,0,0,1,0,0,1,1,0,0,0,0,0,0
H16715,1.0,1,0,1,0,1,0.0,12,0.21488492148849214,2013,1974,39,2093,22,25,0,0,1,0,0,1,0,0,1,0,0,0,0
H19788,0.095890411,1,0,1,0,1,0.0,2,0.3869649386964939,2015,1965,50,1218,59,21,0,0,1,0,0,0,0,0,0,1,0,0,0
H19789,0.99726776,1,0,1,0,1,0.0,12,0.3869649386964939,2016,1965,51,1093,59,25,0,0,1,0,0,1,0,0,0,1,0,0,0
H5129,1.0,1,0,1,0,1,0.0,12,0.10733491073349108,2013,1940,73,2093,72,20,0,0,1,0,0,1,0,0,0,0,0,0,1
H5348,1.0,0,1,0,1,0,1.0,12,0.3224349322434933,2014,1980,34,1517,1525,298,0,0,1,0,0,1,0,0,1,0,0,0,0
H6163,1.0,0,0,1,0,1,0.0,12,0.39771993977199405,2013,1950,63,2093,315,94,0,0,1,0,0,1,0,0,0,0,0,1,0
H7159,1.0,1,1,0,1,0,1.0,12,0.20412992041299205,2015,1960,55,1218,3733,561,0,0,1,0,0,1,0,0,0,0,1,0,0
H7183,1.0,1,1,0,1,0,0.0,12,0.07291890729189074,2012,1960,52,2225,3733,1104,0,0,1,0,0,1,0,0,0,1,0,0,0
H7184,1.0,1,1,0,1,0,0.0,12,0.07291890729189074,2015,1960,55,1218,3733,561,0,0,1,0,0,1,0,0,0,0,1,0,0
H7279,0.9972602740000001,0,0,1,0,1,0.0,12,0.21423962142396213,2015,1960,55,1218,3733,561,0,0,1,0,0,1,0,0,0,0,1,0,0
H16150,1.0,1,0,1,0,1,0.0,12,0.7173585717358572,2013,1970,43,2093,289,90,0,0,1,0,0,1,0,0,0,1,0,0,0
H17519,1.0,0,0,1,0,1,1.0,12,0.703161970316197,2013,1980,33,2093,1525,423,0,0,1,0,0,1,0,0,1,0,0,0,0
H17520,1.0,0,0,1,0,1,0.0,12,0.703161970316197,2015,1980,35,1218,1525,222,0,0,1,0,0,1,0,0,1,0,0,0,0
H6536,0.665753425,0,1,0,1,0,0.0,8,0.06431490643149065,2013,1960,53,2093,3733,989,0,0,1,0,1,0,0,0,0,0,1,0,0
H13427,1.0,1,1,0,1,0,0.0,12,0.48053344805334486,2012,1960,52,2225,3733,1104,0,0,1,0,0,1,0,0,0,1,0,0,0
H14436,1.0,0,1,0,1,0,0.0,12,0.30092493009249305,2012,1980,32,2225,1525,455,0,0,1,0,0,1,0,1,0,0,0,0,0
H4560,1.0,0,0,1,0,1,1.0,12,0.17186491718649172,2014,1967,47,1517,14,23,0,0,1,0,0,1,0,0,0,1,0,0,0
H12619,0.893150685,0,1,0,1,0,0.0,10,0.06431490643149065,2013,1960,53,2093,3733,989,0,0,1,0,0,1,0,0,0,0,1,0,0
H12638,1.0,0,1,0,1,0,1.0,12,0.9268659926865993,2013,1960,53,2093,3733,989,0,0,1,0,0,1,0,0,0,0,1,0,0
H12928,1.0,0,1,0,1,0,1.0,12,0.46440094644009466,2012,1980,32,2225,1525,455,0,0,1,0,0,1,0,1,0,0,0,0,0
H15123,1.0,0,0,1,0,1,1.0,12,0.13959991395999138,2015,1960,55,1218,3733,561,0,0,1,0,0,1,0,0,0,0,1,0,0
H17184,1.0,0,0,1,0,1,0.0,12,0.36459453645945367,2013,2007,6,2093,60,48,0,0,1,0,0,1,0,0,0,0,0,0,0
H17876,1.0,0,0,1,0,1,0.0,12,0.1589589158958916,2015,1940,75,1218,72,14,0,0,1,0,0,1,0,0,0,0,0,0,1
H19966,0.024590163999999998,1,0,1,0,1,0.0,1,0.7096149709614971,2016,1957,59,1093,11,14,0,0,1,0,0,0,0,0,0,0,1,0,0
H200,1.0,0,0,1,0,1,0.0,12,0.07506990750699076,2013,1960,53,2093,3733,989,0,0,1,0,0,1,0,0,0,0,1,0,0
H2198,1.0,1,0,0,1,0,0.0,12,0.08582490858249087,2012,1980,32,2225,1525,455,0,0,1,0,0,1,0,1,0,0,0,0,0
H2459,0.0,0,0,0,1,0,1.0,1,0.21488492148849214,2014,1960,54,1517,3733,680,0,0,1,0,0,0,0,0,0,0,1,0,0
H385,0.893150685,0,0,0,1,0,0.0,10,0.034631103463110345,2015,1960,55,1218,3733,561,0,0,1,0,0,1,0,0,0,0,1,0,0
H391,1.0,0,1,0,1,0,0.0,12,0.0686169068616907,2014,1960,54,1517,3733,680,0,0,1,0,0,1,0,0,0,0,1,0,0
H392,0.99726776,0,1,0,1,0,0.0,12,0.0686169068616907,2016,1960,56,1093,3733,457,0,0,1,0,0,1,0,0,0,0,1,0,0
H725,1.0,0,0,0,1,0,1.0,12,0.26328242632824267,2012,1960,52,2225,3733,1104,0,0,1,0,0,1,0,0,0,1,0,0,0
H14086,1.0,0,1,0,1,0,0.0,12,0.08582490858249087,2015,1960,55,1218,3733,561,0,0,1,0,0,1,0,0,0,0,1,0,0
H14735,0.832876712,0,1,0,1,0,0.0,9,0.057861905786190576,2013,1980,33,2093,1525,423,0,0,1,0,1,0,0,0,1,0,0,0,0
H16502,1.0,0,0,1,0,1,0.0,12,0.1589589158958916,2012,1970,42,2225,289,86,0,0,1,0,0,1,0,0,1,0,0,0,0
H17791,1.0,0,0,1,0,1,0.0,12,0.24714992471499247,2012,1978,34,2225,28,298,0,0,1,0,0,1,0,0,1,0,0,0,0
H18545,1.0,0,0,1,0,1,1.0,12,0.9032049903204991,2015,1988,27,1218,720,134,0,0,1,0,0,1,0,1,0,0,0,0,0
H6135,0.747945205,1,1,0,1,0,0.0,8,0.19337491933749193,2013,1988,25,2093,720,226,0,0,1,0,1,0,0,1,0,0,0,0,0
H6954,1.0,0,0,0,1,0,0.0,12,0.5644224564422456,2015,1980,35,1218,1525,222,0,0,1,0,0,1,0,0,1,0,0,0,0
H1374,0.9150684929999999,1,0,0,1,0,0.0,10,0.057861905786190576,2014,1960,54,1517,3733,680,0,0,1,0,0,1,0,0,0,0,1,0,0
H14287,1.0,0,1,0,1,0,0.0,12,0.7324155732415574,2012,1988,24,2225,720,232,0,0,1,0,0,1,0,1,0,0,0,0,0
H15347,1.0,0,0,1,0,1,1.0,12,0.795654979565498,2012,1985,27,2225,32,134,0,0,1,0,0,1,0,1,0,0,0,0,0
H15348,1.0,0,0,1,0,1,1.0,12,0.795654979565498,2015,1985,30,1218,32,20,0,0,1,0,0,1,0,1,0,0,0,0,0
H18765,0.418032787,0,0,1,0,1,0.0,5,0.7244568724456872,2012,2009,3,2225,77,21,0,0,1,1,0,0,0,0,0,0,0,0,0
H18766,1.0,0,0,1,0,1,1.0,12,0.7244568724456872,2013,2009,4,2093,77,36,0,0,1,0,0,1,0,0,0,0,0,0,0
H18767,1.0,0,0,1,0,1,1.0,12,0.7244568724456872,2014,2009,5,1517,77,47,0,0,1,0,0,1,0,0,0,0,0,0,0
H5184,1.0,0,0,0,1,0,1.0,12,0.2794149279414928,2013,1980,33,2093,1525,423,0,0,1,0,0,1,0,0,1,0,0,0,0
H5185,0.769863014,0,0,0,1,0,0.0,9,0.2794149279414928,2014,1980,34,1517,1525,298,0,0,1,0,1,0,0,0,1,0,0,0,0
H15504,1.0,1,0,1,0,1,1.0,12,0.8601849860184986,2013,1980,33,2093,1525,423,0,0,1,0,0,1,0,0,1,0,0,0,0
H15505,1.0,1,0,1,0,1,0.0,12,0.8601849860184986,2014,1980,34,1517,1525,298,0,0,1,0,0,1,0,0,1,0,0,0,0
H15826,1.0,0,0,1,0,1,0.0,12,0.12239191223919124,2013,1960,53,2093,3733,989,0,0,1,0,0,1,0,0,0,0,1,0,0
H5245,1.0,0,1,0,1,0,0.0,12,0.013766401376640139,2014,1960,54,1517,3733,680,0,0,1,0,0,1,0,0,0,0,1,0,0
H19615,0.99726776,0,0,1,0,1,0.0,12,0.0787266078726608,2016,1985,31,1093,32,18,0,0,1,0,0,1,0,1,0,0,0,0,0
H6058,1.0,1,1,0,1,0,1.0,12,0.04280490428049043,2013,1960,53,2093,3733,989,0,0,1,0,0,1,0,0,0,0,1,0,0
H13802,1.0,1,1,0,1,0,1.0,12,0.08582490858249087,2012,1960,52,2225,3733,1104,0,0,1,0,0,1,0,0,0,1,0,0,0
H13713,1.0,0,1,0,1,0,0.0,12,0.08582490858249087,2013,1980,33,2093,1525,423,0,0,1,0,0,1,0,0,1,0,0,0,0
H13714,1.0,0,1,0,1,0,0.0,12,0.08582490858249087,2016,1980,36,1093,1525,203,0,0,1,0,0,1,0,0,1,0,0,0,0
H14252,1.0,0,0,1,0,1,0.0,12,0.08582490858249087,2012,1940,72,2225,72,20,0,0,1,0,0,1,0,0,0,0,0,1,0
H14253,1.0,0,0,1,0,1,0.0,12,0.08582490858249087,2016,1940,76,1093,72,14,0,0,1,0,0,1,0,0,0,0,0,0,1
H2984,0.024657534,0,0,0,1,0,0.0,1,0.08582490858249087,2013,1960,53,2093,3733,989,0,0,1,0,0,0,0,0,0,0,1,0,0
H393,1.0,0,0,1,0,1,1.0,12,0.14175091417509142,2015,1949,66,1218,5,50,0,0,1,0,0,1,0,0,0,0,0,1,0
H394,1.0,0,0,1,0,1,0.0,12,0.23639492363949238,2013,1978,35,2093,28,222,0,0,1,0,0,1,0,0,1,0,0,0,0
H396,1.0,0,0,1,0,1,0.0,12,0.11378791137879114,2013,1949,64,2093,5,63,0,0,1,0,0,1,0,0,0,0,0,1,0
H15194,1.0,0,0,1,0,1,0.0,12,0.702946870294687,2012,1975,37,2225,61,31,0,0,1,0,0,1,0,0,1,0,0,0,0
H15195,1.0,0,0,1,0,1,1.0,12,0.702946870294687,2014,1975,39,1517,61,25,0,0,1,0,0,1,0,0,1,0,0,0,0
H15196,1.0,0,0,1,0,1,0.0,12,0.702946870294687,2015,1975,40,1218,61,22,0,0,1,0,0,1,0,0,1,0,0,0,0
H3672,0.0,0,1,0,1,0,0.0,1,0.06431490643149065,2013,1960,53,2093,3733,989,0,0,1,0,0,0,0,0,0,0,1,0,0
H18343,1.0,0,0,1,0,1,0.0,12,0.13744891374489138,2013,1951,62,2093,6,88,0,0,1,0,0,1,0,0,0,0,1,0,0
H12817,1.0,0,1,0,1,0,0.0,12,0.11378791137879114,2015,1980,35,1218,1525,222,0,0,1,0,0,1,0,0,1,0,0,0,0
H15625,1.0,0,0,1,0,1,0.0,12,0.09657990965799097,2013,1960,53,2093,3733,989,0,0,1,0,0,1,0,0,0,0,1,0,0
H19106,1.0,0,0,1,0,1,0.0,12,0.8171649817164982,2013,1960,53,2093,3733,989,0,0,1,0,0,1,0,0,0,0,1,0,0
H5705,0.476712329,1,0,1,0,1,1.0,6,0.24499892449989247,2014,1988,26,1517,720,158,0,0,1,1,0,0,0,1,0,0,0,0,0
